,geometry,class,confidence,tile_id,original_yolo,normalized,bbox_coords,x,y
552,POINT (2221922.730509138 6457673.9118309785),Truck,0.950240969657898,9,"{'x1': 504.09515380859375, 'y1': 574.89404296875, 'x2': 44.693458557128906, 'y2': 40.487308502197266}","{'x': 0.4287411212921143, 'y': 0.48076667785644533}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221922.730509138,6457673.9118309785
89,POINT (2221945.8206988336 6457555.2559336),Truck,0.9363414645195007,2,"{'x1': 215.83547973632812, 'y1': 207.89999389648438, 'x2': 37.39872741699219, 'y2': 40.68587112426758}","{'x': 0.1978392243385315, 'y': 0.19420770406723023}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221945.8206988336,6457555.2559336
984,POINT (2221779.4729758264 6457834.602028923),Truck,0.924663782119751,21,"{'x1': 38.81136703491211, 'y1': 332.3552551269531, 'x2': 39.67369079589844, 'y2': 35.860626220703125}","{'x': 0.06131645441055298, 'y': 0.28766865730285646}","{'minx': 2221685.6046212674, 'miny': 6457805.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457905.835163193}",2221779.4729758264,6457834.602028923
532,POINT (2221915.484463072 6457668.767616348),Truck,0.9235861301422119,9,"{'x1': 599.3499755859375, 'y1': 507.97833251953125, 'x2': 42.18805694580078, 'y2': 41.55707550048828}","{'x': 0.501201581954956, 'y': 0.4293245315551758}","{'minx': 2221865.6046212674, 'miny': 6457625.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457725.835163193}",2221915.484463072,6457668.767616348
68,POINT (2221921.4342511655 6457540.599293308),Truck,0.9201728701591492,2,"{'x1': 524.806640625, 'y1': 26.699684143066406, 'x2': 40.574066162109375, 'y2': 34.28118133544922}","{'x': 0.44170370101928713, 'y': 0.04764130115509033}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221921.4342511655,6457540.599293308
419,POINT (2221734.8923076154 6457651.431560116),Truck,0.9183668494224548,7,"{'x1': 620.0662231445312, 'y1': 281.8052978515625, 'x2': 29.0513858795166, 'y2': 45.828582763671875}","{'x': 0.5071231365203858, 'y': 0.25596396923065184}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221734.8923076154,6457651.431560116
1271,POINT (2222108.6508787633 6457857.237288551),Truck,0.9176814556121826,25,"{'x1': 438.9658203125, 'y1': 621.9396362304688, 'x2': 34.042083740234375, 'y2': 36.007545471191406}","{'x': 0.36953742504119874, 'y': 0.5140212535858154}","{'minx': 2222045.6046212674, 'miny': 6457805.835163193, 'maxx': 2222145.6046212674, 'maxy': 6457905.835163193}",2222108.6508787633,6457857.237288551
650,POINT (2222038.301287985 6457663.269905644),Truck,0.9176217317581177,10,"{'x1': 182.11277770996094, 'y1': 441.9645690917969, 'x2': 39.36988830566406, 'y2': 37.20012664794922}","{'x': 0.17303333282470704, 'y': 0.3743474245071411}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222038.301287985,6457663.269905644
619,POINT (2222050.447764492 6457668.690025406),Truck,0.9128917455673218,10,"{'x1': 23.73621368408203, 'y1': 507.73101806640625, 'x2': 42.27155303955078, 'y2': 40.81121826171875}","{'x': 0.051568567752838135, 'y': 0.42854862213134765}","{'minx': 2221955.6046212674, 'miny': 6457625.835163193, 'maxx': 2222055.6046212674, 'maxy': 6457725.835163193}",2222050.447764492,6457668.690025406
1308,POINT (2221830.4424537183 6457924.999296265),Truck,0.9037402868270874,29,"{'x1': 556.3682250976562, 'y1': 325.51190185546875, 'x2': 21.707496643066406, 'y2': 47.78898620605469}","{'x': 0.45162167549133303, 'y': 0.2916413307189941}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221830.4424537183,6457924.999296265
63,POINT (2221960.503108597 6457564.021458225),Truck,0.9037319421768188,2,"{'x1': 26.27724838256836, 'y1': 338.9312438964844, 'x2': 39.02210998535156, 'y2': 21.853334426879883}","{'x': 0.05101512670516968, 'y': 0.2818629503250122}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221960.503108597,6457564.021458225
373,POINT (2221780.3330946923 6457646.461808281),Truck,0.9018831253051758,7,"{'x1': 44.23943328857422, 'y1': 215.32777404785156, 'x2': 23.236103057861328, 'y2': 48.69329071044922}","{'x': 0.05271526575088501, 'y': 0.206266450881958}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221780.3330946923,6457646.461808281
1321,POINT (2221829.9798120023 6457934.972810345),Truck,0.8995530605316162,29,"{'x1': 562.1121215820312, 'y1': 454.38568115234375, 'x2': 21.885456085205078, 'y2': 46.576210021972656}","{'x': 0.4562480926513672, 'y': 0.3913764715194702}","{'minx': 2221775.6046212674, 'miny': 6457895.835163193, 'maxx': 2221875.6046212674, 'maxy': 6457995.835163193}",2221829.9798120023,6457934.972810345
87,POINT (2221932.401324606 6457552.141035395),Truck,0.8987299203872681,2,"{'x1': 380.23712158203125, 'y1': 167.58151245117188, 'x2': 44.76506042480469, 'y2': 41.13364791870117}","{'x': 0.3320329666137695, 'y': 0.16305872201919555}","{'minx': 2221865.6046212674, 'miny': 6457535.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457635.835163193}",2221932.401324606,6457552.141035395
398,POINT (2221744.9484361173 6457656.30970438),Truck,0.8981599807739258,7,"{'x1': 491.5677185058594, 'y1': 342.92987060546875, 'x2': 28.831470489501953, 'y2': 47.14424514770508}","{'x': 0.40656185150146484, 'y': 0.30474541187286375}","{'minx': 2221685.6046212674, 'miny': 6457625.835163193, 'maxx': 2221785.6046212674, 'maxy': 6457725.835163193}",2221744.9484361173,6457656.30970438
1197,POINT (2221960.439843631 6457825.379439192),Truck,0.8967477083206177,23,"{'x1': 42.5256233215332, 'y1': 200.69711303710938, 'x2': 23.583532333374023, 'y2': 49.46962356567383}","{'x': 0.05164777636528015, 'y': 0.19544275999069213}","{'minx': 2221865.6046212674, 'miny': 6457805.835163193, 'maxx': 2221965.6046212674, 'maxy': 6457905.835163193}",2221960.439843631,6457825.379439192
